Timestamp,Ship,Name
7/21/2021 0:55:37,Winter/Robyn,Snowbyrd
7/21/2021 0:56:21,Robyn/Fiona/May Marigold/Joanna,Very Happy Huntresses
7/21/2021 0:56:43,Winter/May Marigold,Black Ice
7/21/2021 2:09:38,Robyn/Fiona/May Marigold/Joanna,Direct Action
7/21/2021 10:44:12,Winter/Robyn/Fiona/May Marigold/Joanna,Frosty Happy Huntresses
7/21/2021 10:47:34,Winter/Robyn,Icebyrd
7/21/2021 10:47:51,Winter/Robyn,Schneewood Forest
7/21/2021 10:48:54,May Marigold/Joanna,Goldleaf
7/21/2021 10:49:37,May Marigold/Robyn,Invisibird
7/21/2021 10:50:08,May Marigold/Fiona,Maythyme
7/21/2021 10:51:48,Fiona/Marrow,Sheepdog
7/21/2021 10:52:14,Fiona/Joanna,Fianna
7/21/2021 10:52:33,Robyn/Fiona,Springthyme
7/21/2021 21:58:18,Salem/Cinder,WitchFire
7/21/2021 22:01:00,Weiss/Jaune,York
7/21/2021 22:35:29,Jaune/Cinder,Knightfall 
7/21/2021 22:35:43,Jaune/Cinder,Arcfall
7/21/2021 22:36:10,Jaune/Cinder,Arcine
7/21/2021 22:47:41,Tyrian/Qrow,Alcohol Poisoning
7/21/2021 22:51:03,Tyrian/Qrow,Little Shrikethrush
7/21/2021 23:43:50,Tock/Jaune,Crocwork Knight
7/21/2021 23:45:30,Tock/Tyrian,Apex Predators
7/22/2021 0:38:25,Jaune/Cinder,Arc Furnace
7/22/2021 3:41:12,Nora/Pyrrha,Pomegrenade
7/22/2021 3:43:36,Tock/Maria,Silver Clocks
7/22/2021 3:47:14,Octavia/Olive,Smarties
7/22/2021 3:55:44,Ciel Soleil/Tock,Clockodile
7/22/2021 4:00:17,Marrow/Jaune,Guard Dogs
7/22/2021 9:56:10,Pyrrha/Weiss/Yang,Trojan Fire and Ice
7/22/2021 10:55:08,Robyn/Fiona/May Marigold/Joanna,Connect Four
7/22/2021 13:37:45,Winter Schnee/May Marigold,Breaking the Ice
7/22/2021 19:28:02,Ruby Rose/May Marigold,Merry Rose
7/23/2021 0:59:13,Taiyang Xiao Long/Raven Branwen/Summer Rose/Qrow Branwen,Entire Team
7/23/2021 1:02:25,Ruby Rose/Weiss Schnee/Yang Xiao Long,Sugar` Spice` and Everything Ice
7/23/2021 1:32:03,Ruby Rose/Penny Polendina,Nuts and Dolts
7/25/2021 9:06:05,Ruby Rose/Penny Polendina,Nuts & Dolts
7/26/2021 16:24:40,Penny Polendina/Ruby Rose/Weiss Schnee,Frosen Steel
7/27/2021 3:33:23,Neopolitan/Neopolitan,Neo's Neo
8/1/2021 23:27:43,Nora Valkyrie/Elm Ederne,Thunder Thighs
8/4/2021 4:07:42,Coco Adel/Ilia Amitola,Ammouflage
8/4/2021 19:22:00,Blake Belladonna/Penny Polendina/Ruby Rose,Notes & Dolts
8/5/2021 14:22:24,Ruby Rose/Pyrrha Nikos,Pyrruby
8/12/2021 8:24:55,Qrow Branwen/Harriet Bree,Watership Down
